ID,Edad,Genero,Ingresos Anuales,Gasto Mensual,Puntuación de Crédito,Región,Comportamiento en linea,Compras en el ultimo año
547,56,Femenino,339747,7015,935,Norte,3,10
548,62,Masculino,712985,10905,811,Norte,2,5
549,50,Femenino,1561248,30927,826,Oeste,8,115
550,19,Femenino,128681,4754,324,Oeste,7,66
551,50,Masculino,985505,15126,917,Oeste,2,3
552,28,Femenino,233128,2352,308,Norte,7,42
553,52,Femenino,706209,29481,552,Oeste,10,104
554,50,Femenino,559557,12774,911,Oeste,3,8
555,31,Femenino,716492,42322,838,Este,9,110
556,60,Femenino,1517513,21792,517,Este,9,133
557,19,Femenino,154056,5094,377,Norte,7,68
558,55,Femenino,1840422,17585,617,Sur,9,130
559,19,Femenino,250873,2695,315,Oeste,7,62
560,49,Femenino,1158770,20748,480,Oeste,9,132
561,23,Masculino,161636,4375,362,Oeste,6,74
562,25,Masculino,199587,2689,446,Oeste,6,47
563,63,Femenino,517655,5315,857,Sur,3,3
564,54,Femenino,1589024,21313,464,Sur,9,142
565,46,Masculino,734164,18961,528,Oeste,9,148
566,33,Masculino,1944193,20168,589,Norte,8,90
567,68,Masculino,697120,24357,971,Norte,1,8
568,30,Femenino,255606,2406,414,Sur,6,87
569,18,Femenino,254476,2281,412,Este,8,57
570,49,Masculino,1367060,29151,732,Oeste,8,148
571,29,Femenino,196543,1489,345,Norte,9,76
572,56,Masculino,1019227,5369,801,Este,2,5
573,28,Femenino,251216,2388,430,Oeste,6,17
574,59,Femenino,1017922,25508,915,Oeste,2,5
575,53,Masculino,960605,12697,871,Norte,1,5
576,27,Femenino,169945,3365,379,Norte,7,96
577,37,Femenino,1516576,38684,815,Este,10,89
578,36,Femenino,1868749,31712,557,Este,8,109
579,58,Femenino,926152,26325,858,Norte,3,2
580,59,Femenino,487125,16259,915,Sur,1,3
581,49,Masculino,893028,39763,426,Oeste,9,142
582,33,Femenino,1209912,43821,717,Sur,10,116
583,32,Femenino,1324566,36663,412,Norte,9,115
584,53,Masculino,269661,21717,936,Este,2,1
585,48,Femenino,1919117,38934,626,Oeste,10,99
586,57,Masculino,786752,38073,809,Este,9,122
587,19,Masculino,279574,5548,483,Oeste,8,23
588,41,Masculino,1591618,34306,709,Oeste,8,107
589,65,Masculino,753816,15770,830,Sur,3,5
590,25,Masculino,128721,2787,445,Norte,10,90
591,66,Masculino,435705,22092,947,Sur,1,7
592,55,Masculino,707085,42829,656,Sur,8,126
593,62,Femenino,634384,19888,853,Sur,1,1
594,21,Masculino,241714,1413,485,Oeste,8,42
595,53,Femenino,1084369,42272,476,Norte,10,139
596,51,Masculino,654532,28884,840,Norte,1,3
597,47,Masculino,1282977,33062,527,Sur,9,144
598,45,Femenino,1574490,19323,632,Norte,10,134
599,38,Masculino,1126187,40612,667,Oeste,8,132
600,70,Femenino,984278,12215,926,Este,1,6
601,50,Masculino,379154,27596,824,Este,2,4
602,34,Femenino,941230,29871,548,Este,9,77
603,59,Masculino,263801,16943,866,Este,2,2
604,56,Masculino,1935699,25953,692,Norte,9,127
605,68,Femenino,1058442,6373,822,Oeste,2,2
606,24,Masculino,173787,5090,494,Norte,7,25
607,18,Masculino,141540,2936,430,Sur,7,62
608,52,Masculino,1146385,26726,875,Oeste,2,9
609,36,Femenino,1498619,37714,834,Sur,9,110
610,44,Femenino,1391509,32556,696,Norte,9,108
611,25,Masculino,160966,4808,473,Este,9,58
612,49,Femenino,740291,28160,490,Este,8,109
613,63,Femenino,647168,19638,997,Oeste,3,1
614,20,Masculino,140239,1079,494,Sur,6,30
615,62,Femenino,729422,29624,845,Este,2,7
616,58,Masculino,431292,23541,940,Sur,3,4
617,19,Femenino,141582,5631,443,Norte,9,18
618,64,Femenino,1059172,17871,881,Norte,1,10
619,30,Masculino,189769,4634,315,Oeste,6,42
620,56,Masculino,798823,27782,552,Sur,8,121
621,42,Femenino,934158,33365,746,Oeste,9,108
622,51,Masculino,775533,28231,989,Este,3,10
623,70,Masculino,934072,12434,822,Sur,1,4
624,58,Femenino,410088,6893,834,Este,2,6
625,22,Femenino,124178,3014,452,Sur,7,30
626,23,Femenino,188483,5891,423,Sur,6,42
627,22,Masculino,277417,4546,422,Norte,10,57
628,35,Femenino,906628,34300,550,Este,9,150
629,55,Femenino,1613530,20423,669,Este,9,91
630,19,Masculino,263310,4759,379,Oeste,10,30
631,64,Masculino,777118,11496,893,Este,3,7
632,30,Masculino,221793,3250,351,Oeste,10,45
633,18,Femenino,186671,2255,352,Norte,9,36
634,50,Masculino,1131134,26957,969,Este,1,1
635,29,Masculino,235873,1597,497,Este,10,73
636,29,Masculino,109175,5900,319,Sur,7,94
637,28,Masculino,200167,1834,315,Norte,6,74
638,48,Femenino,1229518,21343,451,Oeste,10,118
639,34,Femenino,1551101,41327,807,Sur,10,100
640,60,Masculino,1801406,33768,774,Sur,9,115
641,58,Masculino,1581780,21448,421,Norte,10,114
642,46,Femenino,1121875,42714,659,Norte,8,111
643,56,Femenino,438581,17247,994,Oeste,3,10
644,59,Femenino,1194031,9360,880,Oeste,3,1
645,55,Femenino,1058475,38477,427,Oeste,9,90
646,64,Femenino,651389,29414,832,Sur,3,7
647,64,Masculino,444240,25284,820,Norte,3,1
648,26,Masculino,158273,4292,342,Este,8,35
649,50,Masculino,1609799,33527,451,Sur,9,94
650,54,Femenino,1011258,19028,822,Sur,2,4
651,24,Masculino,114791,4542,358,Este,10,64
652,24,Masculino,114439,4962,335,Oeste,8,60
653,49,Masculino,1364174,43085,760,Norte,8,150
654,52,Femenino,1116238,27186,825,Norte,2,5
655,28,Femenino,144574,4325,479,Este,6,30
656,68,Masculino,1145265,15489,927,Oeste,3,10
657,30,Masculino,1121656,40877,608,Este,8,104
658,27,Masculino,246089,2732,396,Oeste,7,66
659,26,Femenino,263517,3993,394,Norte,7,21
660,70,Masculino,491203,9181,976,Este,2,7
661,58,Masculino,976247,11754,984,Norte,2,5
662,36,Masculino,1047880,23206,789,Oeste,8,103
663,39,Masculino,1438008,28923,460,Sur,8,135
664,24,Femenino,197030,4927,437,Oeste,7,30
665,33,Femenino,1753000,17940,489,Oeste,8,78
666,56,Masculino,1155557,13145,997,Norte,2,2
667,49,Masculino,1542056,37265,422,Sur,10,88
668,53,Masculino,869890,24240,663,Este,10,88
669,36,Femenino,978178,32648,640,Norte,8,147
670,34,Masculino,1638541,17573,836,Sur,9,121
671,18,Masculino,217971,2707,474,Este,8,19
672,20,Masculino,264520,1030,455,Sur,8,47
673,39,Femenino,1339730,28609,580,Norte,8,129
674,19,Femenino,254812,1548,387,Norte,7,93
675,24,Femenino,147573,3015,421,Norte,9,100
676,40,Femenino,1677327,18123,693,Este,9,125
677,18,Masculino,156733,3724,325,Norte,6,77
678,51,Femenino,477395,13487,973,Este,2,1
679,68,Masculino,884400,21314,955,Este,2,7
680,29,Femenino,133156,2558,327,Este,9,84
681,26,Femenino,217381,4846,465,Sur,6,67
682,55,Femenino,770098,23383,870,Sur,3,6
683,69,Femenino,640491,16965,815,Sur,1,2
684,58,Masculino,1146975,16150,527,Norte,10,113
685,31,Masculino,733771,25690,600,Sur,9,121
686,65,Femenino,595758,16325,875,Sur,2,4
687,37,Femenino,1106812,28140,500,Este,9,126
688,66,Masculino,605845,21579,945,Norte,1,3
689,22,Femenino,253398,4939,356,Oeste,10,69
690,18,Masculino,244959,4165,308,Oeste,10,40
691,51,Femenino,606994,19471,952,Norte,2,1
692,44,Femenino,784743,19385,441,Sur,10,144
693,53,Femenino,703296,9474,939,Oeste,1,10
694,69,Masculino,845509,22019,928,Norte,2,4
695,24,Femenino,229314,2479,475,Este,6,80
696,40,Femenino,1631015,40642,683,Oeste,8,92
697,48,Masculino,890234,19255,651,Sur,10,118
698,41,Femenino,1203917,19109,745,Oeste,9,88
699,64,Masculino,646476,20060,872,Norte,1,4
700,59,Femenino,608554,21165,884,Norte,1,9
701,38,Femenino,1860601,18383,668,Este,9,80
702,57,Femenino,1679693,25746,815,Sur,8,133
703,58,Masculino,300231,26731,914,Sur,1,8
704,64,Masculino,469357,27014,986,Este,2,4
705,53,Masculino,580721,17151,939,Este,3,6
706,24,Femenino,241190,2139,375,Este,9,27
707,41,Femenino,1171257,25587,763,Oeste,10,148
708,68,Masculino,1169092,12899,801,Este,3,8
709,53,Femenino,1112504,19451,883,Sur,3,5
710,30,Femenino,198677,4810,466,Oeste,8,25
711,38,Masculino,750023,35638,567,Norte,8,141
712,26,Femenino,112256,4495,409,Norte,9,92
713,41,Femenino,1983583,42482,835,Oeste,10,99
714,65,Masculino,958436,14766,812,Oeste,3,8
715,20,Masculino,209573,1292,488,Sur,7,17
716,61,Femenino,342947,27179,882,Este,1,6
717,23,Femenino,137092,5585,452,Oeste,7,50
718,64,Masculino,708510,6220,969,Este,2,10
719,35,Masculino,1447909,41206,687,Este,10,95
720,52,Masculino,842112,21562,906,Sur,1,3
721,18,Masculino,155164,1053,401,Este,9,82
722,69,Femenino,348142,16231,886,Norte,3,8
723,53,Masculino,886196,26958,542,Norte,9,150
724,27,Masculino,141344,4503,340,Sur,10,69
725,34,Masculino,980485,42556,474,Sur,10,144
726,31,Masculino,857395,33337,468,Sur,10,139
727,54,Masculino,856231,29032,764,Oeste,10,117
728,52,Masculino,919782,37766,587,Norte,10,142
729,53,Femenino,1113662,16055,950,Sur,2,10
730,54,Masculino,1797881,24031,722,Sur,8,128
731,20,Femenino,242054,4371,408,Este,6,33
732,42,Femenino,729595,43265,709,Este,9,80
733,64,Masculino,925665,6874,934,Este,1,7
734,69,Masculino,603061,20732,932,Oeste,2,1
735,31,Femenino,723605,38836,700,Norte,8,127
736,30,Femenino,1449776,34125,489,Norte,8,137
737,64,Femenino,366568,20468,988,Oeste,3,2
738,56,Masculino,917490,5965,945,Oeste,1,5
739,54,Masculino,1039159,15469,522,Este,9,122
740,53,Masculino,1638469,38049,427,Norte,8,122
741,34,Femenino,860001,30242,496,Sur,8,130
742,22,Femenino,256297,1891,348,Sur,10,83
743,59,Femenino,1048302,40563,849,Sur,10,144
744,25,Femenino,207380,4733,400,Oeste,10,19
745,18,Femenino,274000,5070,405,Oeste,8,88
746,65,Masculino,779086,10648,809,Oeste,1,4
747,59,Masculino,705020,29127,990,Oeste,2,4
748,50,Masculino,1171036,22220,983,Norte,1,2
749,59,Femenino,378646,10880,936,Norte,2,6
750,50,Masculino,857114,36012,629,Sur,10,138
751,49,Masculino,1281605,25855,696,Sur,9,143
752,67,Femenino,673213,29429,866,Sur,2,9
753,57,Masculino,394517,14812,954,Oeste,2,7
754,28,Masculino,233316,4654,306,Oeste,10,97
755,67,Femenino,441035,15328,994,Sur,2,3
756,62,Masculino,459131,13735,946,Este,1,3
757,38,Femenino,1943411,37559,708,Oeste,8,77
758,26,Masculino,267499,3112,491,Sur,10,28
759,30,Masculino,1283668,22972,838,Este,9,97
760,34,Masculino,981660,20478,544,Norte,10,101
761,50,Femenino,486576,25668,946,Este,2,5
762,42,Femenino,1105532,39292,443,Este,8,128
763,32,Masculino,1881555,40206,471,Norte,10,113
764,29,Femenino,106711,5850,408,Oeste,8,81
765,70,Femenino,713640,17958,992,Sur,3,4
766,35,Femenino,761711,42844,780,Oeste,8,110
767,30,Femenino,747976,29331,750,Sur,8,114
768,41,Masculino,1623319,40493,494,Sur,8,128
769,24,Masculino,120910,4889,314,Norte,9,59
770,28,Masculino,181454,4981,495,Sur,8,63
771,45,Masculino,985928,34810,785,Norte,8,78
772,39,Masculino,929216,16895,736,Sur,8,93
773,21,Femenino,267898,1083,392,Sur,10,78
774,59,Masculino,1021474,15434,985,Sur,3,10
775,22,Masculino,231381,5208,336,Oeste,6,98
776,35,Femenino,1781330,40281,561,Este,8,90
777,56,Femenino,990229,17822,935,Norte,3,3
778,55,Masculino,1819378,15064,673,Norte,8,129
779,21,Masculino,102317,3855,471,Este,8,21
780,68,Femenino,1090571,15629,916,Oeste,2,9
781,28,Masculino,194302,2614,382,Sur,8,38
782,28,Masculino,165118,2578,363,Este,6,41
783,51,Femenino,353759,7857,852,Oeste,2,1
784,58,Femenino,588452,10228,991,Este,3,9
785,23,Masculino,101178,1508,319,Norte,10,27
786,29,Femenino,171961,5562,403,Oeste,10,57
787,69,Masculino,716053,16474,812,Oeste,1,2
788,67,Masculino,448697,24127,834,Oeste,3,4
789,30,Masculino,1637607,40420,674,Norte,8,139
790,20,Femenino,244210,1702,417,Oeste,10,59
791,57,Femenino,1024470,5208,983,Oeste,3,1
792,56,Femenino,1587968,16420,465,Norte,8,112
793,19,Femenino,256991,4047,397,Norte,9,28
794,53,Femenino,831064,35935,613,Sur,9,75
795,64,Masculino,1023343,10786,923,Oeste,3,1
796,52,Femenino,731283,24112,559,Norte,9,86
797,24,Masculino,214418,4309,392,Oeste,6,68
798,60,Masculino,790040,36282,842,Este,8,131
799,55,Masculino,753630,42472,704,Oeste,8,96
800,18,Femenino,190463,5124,384,Este,10,65
801,30,Femenino,251319,4812,368,Sur,10,16
802,55,Femenino,572598,28381,964,Norte,2,8
803,28,Masculino,254650,1226,481,Norte,9,72
804,69,Masculino,307023,23653,895,Norte,2,5
805,55,Femenino,1044301,18947,800,Sur,1,7
806,70,Femenino,872819,21495,955,Este,2,7
807,65,Femenino,465646,25368,960,Este,2,6
808,30,Masculino,246199,2868,315,Sur,10,28
809,25,Femenino,247191,4139,363,Sur,8,19
810,52,Masculino,1503805,23873,448,Sur,8,133
811,28,Masculino,184707,3567,356,Norte,10,35
812,52,Masculino,1164134,40856,833,Norte,8,86
813,70,Femenino,355731,6578,894,Sur,2,2
814,54,Femenino,282960,18095,844,Sur,1,7
815,64,Femenino,926082,26665,831,Sur,3,1
816,25,Masculino,267635,4048,497,Sur,6,46
817,46,Masculino,977831,24219,649,Este,9,100
818,52,Femenino,1043991,44865,425,Sur,8,98
819,30,Femenino,1659210,44479,648,Norte,8,128
820,56,Femenino,1933367,37006,602,Oeste,10,93
821,50,Masculino,358397,22228,838,Sur,3,10
822,53,Masculino,1322696,19154,768,Oeste,9,110
823,57,Masculino,1111487,41747,473,Norte,9,119
824,68,Masculino,532080,6062,846,Norte,1,10
825,24,Femenino,199099,3707,420,Este,8,74
826,50,Femenino,1128649,6965,945,Norte,1,10
827,26,Masculino,239148,3425,332,Oeste,7,18
828,33,Masculino,1672232,33772,623,Sur,10,132
829,20,Masculino,128914,1280,370,Oeste,6,29
830,23,Masculino,107088,6000,398,Sur,6,29
831,21,Femenino,251683,1033,438,Sur,10,76
832,19,Masculino,103486,4854,339,Oeste,10,68
833,26,Masculino,160375,4979,411,Oeste,9,80
834,25,Masculino,212141,1433,323,Sur,6,74
835,27,Femenino,202055,1773,485,Oeste,8,29
836,32,Femenino,1570267,35099,753,Este,9,81
837,21,Masculino,245522,3248,351,Oeste,10,17
838,34,Femenino,1298219,25186,652,Norte,9,94
839,30,Femenino,235526,1479,354,Norte,8,52
840,30,Masculino,866029,15036,639,Sur,8,150
841,55,Masculino,1136193,26522,873,Oeste,3,3
842,29,Femenino,252267,1178,319,Norte,8,80
843,27,Femenino,207271,3045,495,Este,7,44
844,41,Femenino,1682069,44686,594,Oeste,8,119
845,47,Femenino,979057,26079,535,Sur,8,84
846,56,Femenino,1042155,24170,958,Sur,1,1
847,66,Femenino,278153,6924,990,Oeste,2,9
848,24,Masculino,247171,2431,483,Sur,6,39
849,26,Masculino,179013,2628,420,Oeste,10,67
850,37,Masculino,1623938,19604,822,Este,9,141
851,18,Femenino,242117,5880,371,Este,6,74
852,47,Masculino,1824084,24014,719,Este,8,85
853,23,Masculino,108351,5569,312,Sur,7,33
854,22,Masculino,203060,4937,476,Norte,6,91
855,67,Femenino,459999,29402,814,Este,3,10
856,26,Masculino,184322,3873,355,Norte,7,69
857,54,Femenino,424184,9935,840,Este,3,10
858,51,Femenino,1815356,36676,693,Oeste,8,145
859,54,Femenino,340990,22693,916,Sur,1,8
860,31,Femenino,821183,15542,519,Oeste,10,114
861,29,Masculino,157661,3956,410,Sur,9,61
862,66,Masculino,786816,24993,886,Sur,3,4
863,68,Femenino,888810,22189,940,Este,2,4
864,27,Femenino,258416,5145,351,Oeste,10,47
865,52,Masculino,1224910,41410,585,Oeste,9,103
866,51,Femenino,1854615,22294,620,Sur,9,94
867,25,Femenino,176619,1917,436,Oeste,9,69
868,46,Femenino,848412,36851,690,Sur,8,98
869,49,Masculino,808919,26585,781,Este,8,115
870,27,Masculino,190946,3513,337,Sur,10,22
871,25,Masculino,106917,2187,351,Oeste,8,42
872,20,Masculino,135859,1770,362,Oeste,6,47
873,57,Femenino,1610038,33276,503,Sur,8,97
874,52,Femenino,1871793,42426,609,Oeste,8,120
875,58,Femenino,268681,8102,803,Oeste,3,6
876,56,Masculino,1497482,21431,502,Este,10,87
877,27,Masculino,266963,1571,416,Sur,6,28
878,52,Femenino,959687,15762,740,Sur,10,107
879,20,Femenino,219979,1509,455,Este,6,43
880,24,Masculino,123645,4039,494,Norte,8,34
881,55,Femenino,864102,21595,800,Este,3,4
882,51,Femenino,570468,12981,921,Oeste,1,7
883,53,Masculino,921262,13760,900,Este,2,9
884,63,Femenino,316811,13437,867,Oeste,1,7
885,30,Femenino,230211,3259,474,Sur,6,77
886,54,Masculino,877568,37082,484,Sur,10,110
887,27,Masculino,141637,2212,328,Sur,8,64
888,63,Masculino,513422,19815,902,Norte,2,3
889,61,Femenino,643818,18124,939,Norte,2,7
890,25,Femenino,161131,5649,372,Sur,10,68
891,43,Masculino,1705864,43109,695,Oeste,8,130
892,19,Femenino,189154,5453,489,Norte,6,35
893,57,Masculino,783212,15303,590,Oeste,8,142
894,39,Femenino,944687,24108,618,Norte,9,92
895,27,Femenino,241947,3590,462,Este,7,29
896,23,Femenino,242599,5546,369,Norte,7,40
897,18,Femenino,231962,3350,424,Oeste,8,92
898,50,Masculino,1701489,36248,646,Este,10,139
899,52,Masculino,1291077,39084,625,Norte,8,134
900,66,Femenino,664348,24989,830,Oeste,3,2
901,25,Femenino,217898,3904,460,Este,8,98
902,46,Femenino,887964,20537,729,Este,8,119
903,26,Masculino,144860,4237,314,Sur,9,81
904,70,Femenino,394781,22708,971,Norte,2,1
905,26,Masculino,233091,4804,348,Oeste,10,54
906,46,Femenino,1196871,20610,756,Este,10,127
907,70,Masculino,1005846,9592,923,Oeste,3,1
908,67,Masculino,1110448,8315,955,Este,3,5
909,70,Masculino,1040146,18327,833,Este,3,9
910,52,Masculino,1730339,27431,602,Este,8,112
911,21,Femenino,172075,1293,418,Oeste,9,33
912,65,Femenino,706069,13383,912,Norte,1,3
913,30,Masculino,146836,1441,333,Norte,8,39
914,53,Femenino,841878,11111,894,Oeste,3,2
915,27,Femenino,105185,1851,358,Oeste,10,41
916,25,Masculino,253715,5456,330,Sur,7,49
917,59,Masculino,422034,20957,988,Oeste,1,9
918,42,Masculino,1502953,31624,793,Sur,8,112
919,63,Femenino,833459,25128,978,Norte,1,8
920,31,Femenino,1135999,33513,825,Norte,8,99
921,21,Masculino,210513,4253,372,Este,8,22
922,30,Masculino,128698,3241,432,Este,10,23
923,53,Masculino,1534859,18230,764,Este,8,113
924,65,Masculino,471721,27495,848,Norte,2,4
925,30,Femenino,128439,1666,493,Este,6,47
926,36,Femenino,1920887,17323,480,Este,10,101
927,19,Masculino,167129,3841,401,Oeste,10,50
928,25,Femenino,116232,3770,468,Este,6,26
929,70,Masculino,752134,9318,818,Este,1,4
930,20,Masculino,216353,3070,404,Norte,9,51
931,25,Masculino,189422,3761,446,Sur,9,53
932,18,Femenino,158544,1984,489,Este,6,36
933,66,Masculino,621517,18065,855,Norte,2,8
934,49,Femenino,1617944,37858,813,Norte,10,82
935,25,Masculino,120503,3956,361,Sur,6,68
936,28,Femenino,116179,4666,302,Oeste,9,85
937,45,Masculino,923387,24720,538,Norte,10,98
938,44,Masculino,1299091,36841,679,Oeste,9,113
939,37,Femenino,838581,22036,408,Norte,10,140
940,46,Masculino,1337644,20637,552,Oeste,8,109
941,24,Femenino,228422,5160,387,Este,10,16
942,57,Femenino,944434,25091,439,Norte,8,86
943,39,Femenino,1044652,16800,703,Sur,8,134
944,68,Masculino,904916,9679,831,Norte,2,2
945,18,Femenino,139847,2426,489,Norte,6,55
946,19,Masculino,171026,4926,393,Oeste,7,70
947,20,Masculino,251906,5861,356,Oeste,10,59
948,25,Masculino,205132,5840,409,Este,6,87
949,24,Femenino,265686,1103,358,Oeste,6,100
950,53,Masculino,890159,10588,950,Este,2,9
951,61,Masculino,341959,29860,924,Este,2,4
952,22,Femenino,111556,3477,300,Norte,6,69
953,35,Femenino,1877927,23050,588,Norte,8,127
954,56,Masculino,1316208,44123,455,Oeste,9,132
955,64,Femenino,279418,14230,834,Norte,3,3
956,47,Masculino,1757126,19014,477,Oeste,9,130
957,55,Masculino,764220,13021,958,Sur,3,3
958,70,Masculino,328632,20677,950,Sur,1,9
959,56,Femenino,404997,7042,909,Oeste,1,8
960,18,Femenino,261095,4432,421,Norte,8,15
961,23,Masculino,206392,2188,418,Este,10,52
962,35,Masculino,1942193,21624,692,Sur,8,115
963,28,Masculino,185894,3698,373,Sur,6,26
964,42,Masculino,853070,28157,653,Oeste,8,121
965,20,Femenino,193111,1559,467,Oeste,9,88
966,30,Femenino,159470,3275,411,Norte,7,82
967,30,Masculino,201548,5796,400,Este,10,17
968,21,Masculino,240572,3363,356,Sur,9,39
969,61,Femenino,356181,17513,813,Norte,1,10
970,21,Masculino,186753,2737,317,Norte,9,98
971,23,Masculino,185919,3115,430,Norte,9,43
972,19,Femenino,221158,5021,342,Oeste,8,66
973,19,Masculino,263910,5936,445,Oeste,10,65
974,27,Masculino,218247,4901,413,Norte,6,93
975,22,Femenino,164083,4236,331,Oeste,7,73
976,45,Masculino,1694909,36925,714,Oeste,9,84
977,24,Femenino,127154,1796,469,Sur,7,52
978,53,Masculino,589517,13177,892,Oeste,3,3
979,49,Femenino,1266266,37497,515,Oeste,10,97
980,23,Masculino,140105,2933,398,Este,7,45
981,64,Femenino,391968,12864,945,Este,2,8
982,37,Masculino,1258338,22412,759,Este,9,81
983,26,Femenino,205621,5773,319,Sur,7,21
984,27,Masculino,204990,3863,404,Oeste,10,54
985,54,Masculino,1096972,19629,842,Norte,1,4
986,62,Masculino,1130404,15815,804,Oeste,2,6
987,43,Femenino,1337165,18944,575,Sur,9,121
988,30,Femenino,1630245,27708,486,Sur,8,80
989,54,Femenino,582590,26028,977,Este,3,7
990,59,Femenino,880533,5459,875,Oeste,1,9
991,48,Masculino,870292,40335,496,Norte,8,133
992,61,Masculino,1112442,20647,946,Norte,1,3
993,37,Masculino,1366194,31897,622,Norte,9,145
994,45,Femenino,1218432,27096,485,Oeste,9,132
995,25,Masculino,120084,2669,492,Este,7,63
996,59,Masculino,746381,7189,875,Oeste,2,9
997,58,Masculino,691205,9504,871,Sur,3,1
998,29,Femenino,159125,1720,491,Sur,9,51
999,35,Femenino,748548,42434,430,Oeste,10,147
1000,54,Femenino,578714,11863,894,Este,3,3
1001,22,Femenino,272010,1613,319,Sur,9,15
1002,57,Masculino,1732236,29523,638,Oeste,10,118
1003,63,Masculino,509290,26236,951,Este,1,2
1004,20,Masculino,277045,4532,493,Norte,9,37
1005,24,Femenino,136165,2622,373,Oeste,10,74
1006,41,Femenino,1702674,28569,655,Este,9,135
1007,61,Femenino,724442,17074,924,Este,3,10
1008,65,Masculino,262126,8775,820,Este,3,9
1009,63,Masculino,1161471,17325,886,Sur,3,5
1010,27,Femenino,230722,5494,417,Oeste,8,34
1011,21,Femenino,132471,5325,345,Este,6,79
1012,58,Femenino,771467,20955,933,Oeste,2,1
1013,24,Femenino,117745,2187,430,Sur,10,46
1014,46,Femenino,1066167,22846,755,Norte,9,114
1015,54,Femenino,1591322,24742,803,Este,9,138
1016,41,Femenino,1122565,35527,762,Este,9,97
1017,31,Femenino,1533679,44124,805,Este,8,102
1018,28,Femenino,202142,2043,321,Norte,6,74
1019,38,Masculino,1968799,20741,580,Sur,9,139
1020,35,Masculino,1099270,30971,721,Sur,8,137
1021,49,Masculino,1098892,19322,844,Este,8,93
1022,26,Masculino,151163,5076,357,Sur,8,55
1023,65,Femenino,400697,16477,850,Norte,1,3
1024,20,Femenino,242211,4217,418,Este,9,94
1025,37,Masculino,1674004,20808,702,Oeste,8,146
1026,55,Femenino,1712764,42748,827,Norte,8,106
1027,35,Masculino,1534647,20497,656,Este,8,128
1028,20,Masculino,211659,2962,466,Sur,7,71
1029,49,Femenino,1138808,30007,837,Este,8,142
1030,46,Femenino,1530978,41091,702,Sur,10,136
1031,53,Masculino,1903986,23288,434,Norte,9,85
1032,53,Femenino,376800,7132,846,Este,2,8
1033,30,Masculino,1133291,20728,809,Oeste,10,141
1034,33,Masculino,1713901,22813,751,Este,10,86
1035,46,Femenino,890863,26377,787,Norte,8,136
1036,25,Femenino,194352,1133,305,Oeste,10,38
1037,29,Masculino,244748,4029,462,Este,9,21
1038,34,Femenino,1118025,36869,427,Norte,9,108
1039,56,Masculino,1037352,28505,985,Este,2,1
1040,22,Femenino,128926,5023,384,Oeste,7,90
1041,55,Femenino,914016,43826,505,Oeste,10,137
1042,20,Femenino,272863,2523,310,Norte,6,49
1043,50,Masculino,679031,22634,950,Este,1,8
1044,70,Femenino,709744,26050,936,Oeste,1,4
1045,38,Masculino,1816294,41839,574,Oeste,8,100
1046,68,Masculino,942017,12576,953,Norte,2,1
1047,63,Masculino,443657,21897,835,Oeste,2,4
1048,53,Masculino,1051780,21249,596,Norte,8,100
1049,37,Masculino,958250,16770,530,Oeste,8,146
1050,51,Femenino,1199561,27371,974,Oeste,1,4
1051,58,Masculino,826131,34850,544,Sur,8,77
1052,45,Masculino,920307,20351,489,Sur,9,126
1053,60,Femenino,1424357,32055,702,Oeste,8,84
1054,51,Femenino,977649,26975,461,Oeste,8,88
1055,24,Femenino,142867,4603,317,Norte,9,51
1056,58,Femenino,647463,18036,845,Norte,3,5
1057,32,Femenino,1723527,28416,477,Oeste,8,121
1058,48,Femenino,876493,16094,502,Sur,9,149
1059,49,Masculino,1698042,20374,527,Norte,9,117
1060,44,Femenino,1957812,29953,531,Este,10,119
1061,55,Femenino,1019751,6500,963,Norte,2,5
1062,26,Masculino,132832,1427,390,Norte,10,94
1063,21,Masculino,243764,4870,465,Sur,6,79
1064,30,Femenino,136264,1080,442,Oeste,7,16
1065,25,Femenino,105736,1165,459,Sur,9,89
1066,46,Masculino,798846,21905,472,Este,10,120
1067,21,Masculino,204066,2390,344,Oeste,7,38
1068,53,Femenino,338103,5739,957,Oeste,1,6
1069,66,Femenino,995857,11922,952,Sur,1,1
1070,67,Femenino,565586,6926,921,Este,1,6
1071,22,Masculino,178479,1580,480,Oeste,6,94
1072,23,Masculino,223879,2764,354,Norte,6,69
1073,68,Femenino,811809,5877,868,Oeste,3,8
1074,22,Femenino,165278,3741,376,Sur,7,56
1075,69,Masculino,623505,9268,820,Este,3,8
1076,28,Masculino,121270,4964,343,Oeste,7,57
1077,58,Femenino,672008,6938,944,Sur,3,6
1078,18,Masculino,107054,2738,384,Norte,8,45
1079,23,Masculino,186839,2092,367,Sur,8,24
1080,59,Femenino,1421574,38500,716,Norte,8,104
1081,67,Femenino,263407,26412,837,Este,2,4
1082,27,Masculino,101440,1745,466,Sur,8,42
1083,52,Masculino,903393,5119,951,Este,3,3
1084,32,Femenino,1428764,35924,569,Este,8,83
1085,47,Masculino,1819589,40651,495,Sur,9,110
1086,62,Femenino,327180,27740,879,Oeste,1,9
1087,51,Masculino,518705,17455,954,Oeste,1,7
1088,66,Femenino,819770,8536,989,Norte,2,9
1089,50,Femenino,831816,26938,905,Norte,2,6
1090,57,Femenino,442034,14265,843,Oeste,3,4
1091,48,Femenino,1482741,17050,439,Norte,10,113
1092,28,Masculino,243636,4954,473,Oeste,9,87
